threshold,ari,nmi,purity,cluster_count
0.0,5.201785641394352e-05,0.44061560796804167,1.0,1773
2.9802322387695312e-08,5.201785641394352e-05,0.44061560796804167,1.0,1773
2.086162567138672e-07,6.0687274452739185e-05,0.4406514049741481,1.0,1772
0.0005105733871459961,6.935662829433314e-05,0.4406872077972513,1.0,1771
0.0011884570121765137,7.802591793943841e-05,0.4407230164387691,1.0,1770
0.0013628005981445312,8.66951433887681e-05,0.44075883090012,1.0,1769
0.0014980435371398926,9.536430464303524e-05,0.44079465118272304,1.0,1768
0.0019320845603942871,0.00010403340170295285,0.44083047728799746,1.0,1767
0.0023078620433807373,0.000112702434569234,0.44086630921736325,1.0,1766
0.0026330649852752686,0.00012137140324259166,0.4409021469722406,1.0,1765
0.0029124915599823,0.00013004030772373887,0.44093799055405036,1.0,1764
0.0033821165561676025,0.00013870914801338862,0.44097383996421374,1.0,1763
0.0038838088512420654,0.0001473779241122539,0.44100969520415234,1.0,1762
0.004240095615386963,0.00015604663602104764,0.4410455562752885,1.0,1761
0.004807919263839722,0.00016471528374048283,0.4410814231790448,1.0,1760
0.005084097385406494,0.00017338386727127247,0.44111729591684423,1.0,1759
0.006247997283935547,0.00018205238661412945,0.4411531744901103,1.0,1758
0.007587850093841553,0.0001907208417697667,0.4411890589002672,1.0,1757
0.008010506629943848,0.00019938923273889718,0.44122494914873933,1.0,1756
0.008393168449401855,0.00020805755952223377,0.4412608452369516,1.0,1755
0.008549869060516357,0.00021672582212048936,0.4412967471663294,1.0,1754
0.008866488933563232,0.00022539402053437687,0.44133265493829854,1.0,1753
0.010143250226974487,0.0002340621547646092,0.4413685685542855,1.0,1752
0.012845873832702637,0.00024273022481189913,0.441404488015717,1.0,1751
0.014905393123626709,0.00025139823067695964,0.44144041332402034,1.0,1750
0.015712201595306396,0.00026006617236050346,0.44147634448062306,1.0,1749
0.017505258321762085,0.0002687340498632435,0.4415122814869537,1.0,1748
0.019128501415252686,0.0002774018631858926,0.4415482243444405,1.0,1747
0.019813358783721924,0.0002860696123291635,0.44158417305451286,1.0,1746
0.02116680145263672,0.0002947372972937691,0.4416201276186003,1.0,1745
0.023186028003692627,0.0003034049180804221,0.4416560880381329,1.0,1744
0.024542301893234253,0.0003120724746898353,0.44169205431454095,1.0,1743
0.024990737438201904,0.00032073996712272154,0.44172802644925574,1.0,1742
0.025637686252593994,0.00032940739537979356,0.4417640044437086,1.0,1741
0.02660396695137024,0.0003380747594617641,0.44179998829933137,1.0,1740
0.028340280055999756,0.0003467420593693459,0.44183597801755653,1.0,1739
0.030460089445114136,0.0003554092951032517,0.44187197359981684,1.0,1738
0.032503217458724976,0.0003640764666641942,0.4419079750475457,1.0,1737
0.0374351441860199,0.0003727435740528861,0.44194398236217686,1.0,1736
0.04126754403114319,0.00038141061727004014,0.4419799955451445,1.0,1735
0.04170683026313782,0.000390077596316369,0.44201601459788337,1.0,1734
